time,count
,
8:45:37 p. m.,154
8:45:40 p. m.,1
8:45:42 p. m.,2
8:45:45 p. m.,3
8:45:47 p. m.,4
8:45:50 p. m.,5
8:45:52 p. m.,6
8:45:55 p. m.,7
8:45:58 p. m.,7
8:46:00 p. m.,9
8:46:02 p. m.,10
8:46:05 p. m.,11
8:46:07 p. m.,12
8:46:10 p. m.,13
8:46:12 p. m.,14
8:46:14 p. m.,15
8:46:16 p. m.,16
8:46:18 p. m.,17
8:46:21 p. m.,18
8:46:23 p. m.,19
8:46:25 p. m.,20
8:46:28 p. m.,21
8:46:30 p. m.,22
8:46:32 p. m.,23
8:46:34 p. m.,23
8:46:37 p. m.,25
8:46:39 p. m.,26
8:46:41 p. m.,27
8:46:44 p. m.,28
8:46:46 p. m.,29
8:46:48 p. m.,30
8:46:51 p. m.,31
8:46:53 p. m.,32
8:46:55 p. m.,33
8:46:57 p. m.,34
8:46:59 p. m.,35
8:47:02 p. m.,36
8:47:04 p. m.,37
8:47:06 p. m.,38
8:47:09 p. m.,39
8:47:11 p. m.,40
8:47:13 p. m.,41
8:47:15 p. m.,42
8:47:18 p. m.,43
8:47:20 p. m.,44
8:47:22 p. m.,45
8:47:25 p. m.,46
8:47:27 p. m.,46
8:47:29 p. m.,48
8:47:32 p. m.,48
8:47:34 p. m.,50
8:47:43 p. m.,51
8:47:45 p. m.,52
8:47:48 p. m.,53
8:47:50 p. m.,54
8:47:52 p. m.,55
8:47:55 p. m.,56
8:47:57 p. m.,57
8:47:59 p. m.,58
8:48:01 p. m.,59
8:48:03 p. m.,60
8:48:05 p. m.,61
8:48:08 p. m.,62
8:48:10 p. m.,63
8:48:12 p. m.,64
8:48:15 p. m.,65
8:48:17 p. m.,66
8:48:19 p. m.,67
8:48:21 p. m.,68
8:48:24 p. m.,69
8:48:26 p. m.,70
8:48:29 p. m.,71
8:48:31 p. m.,72
8:48:33 p. m.,73
8:48:35 p. m.,74
8:48:37 p. m.,74
8:48:39 p. m.,76
8:48:42 p. m.,77
8:48:44 p. m.,77
8:48:46 p. m.,79
8:48:49 p. m.,79
8:48:51 p. m.,80
8:48:53 p. m.,82
8:48:56 p. m.,82
8:48:58 p. m.,83
8:49:00 p. m.,84
8:49:02 p. m.,85
8:49:05 p. m.,87
8:49:07 p. m.,87
8:49:09 p. m.,88
8:49:11 p. m.,89
8:49:14 p. m.,91
8:49:16 p. m.,92
8:49:18 p. m.,93
8:49:21 p. m.,94
8:49:23 p. m.,95
8:49:25 p. m.,96
8:49:28 p. m.,97
8:49:30 p. m.,98
8:49:32 p. m.,99
8:49:34 p. m.,99
8:49:45 p. m.,101
8:49:47 p. m.,102
8:49:50 p. m.,103
8:49:52 p. m.,104
8:49:54 p. m.,105
8:49:57 p. m.,106
8:49:59 p. m.,107
8:50:02 p. m.,108
8:50:04 p. m.,109
8:50:06 p. m.,110
8:50:09 p. m.,111
8:50:11 p. m.,112
8:50:13 p. m.,113
8:50:16 p. m.,114
8:50:18 p. m.,115
8:50:20 p. m.,116
8:50:23 p. m.,117
8:50:25 p. m.,118
8:50:27 p. m.,119
8:50:30 p. m.,120
8:50:32 p. m.,121
8:50:34 p. m.,122
8:50:36 p. m.,123
8:50:39 p. m.,124
8:50:41 p. m.,125
8:50:43 p. m.,126
8:50:46 p. m.,127
8:50:48 p. m.,128
8:50:50 p. m.,129
8:50:53 p. m.,130
8:50:55 p. m.,131
8:50:58 p. m.,132
8:51:00 p. m.,133
8:51:02 p. m.,134
8:51:05 p. m.,135
8:51:07 p. m.,135
8:51:09 p. m.,137
8:51:12 p. m.,138
8:51:14 p. m.,139
8:51:16 p. m.,140
8:51:19 p. m.,141
8:51:21 p. m.,142
8:51:23 p. m.,143
8:51:26 p. m.,144
8:51:28 p. m.,145
8:51:30 p. m.,146
8:51:33 p. m.,147
8:51:35 p. m.,148
8:51:37 p. m.,148
8:51:39 p. m.,149
8:51:47 p. m.,152
8:51:50 p. m.,153
8:51:52 p. m.,154
8:51:54 p. m.,155
8:51:57 p. m.,156
8:51:59 p. m.,157
8:52:01 p. m.,158
8:52:03 p. m.,159
8:52:06 p. m.,159
8:52:08 p. m.,161
8:52:10 p. m.,162
8:52:12 p. m.,163
8:52:14 p. m.,163
8:52:17 p. m.,165
8:52:19 p. m.,165
8:52:21 p. m.,167
8:52:24 p. m.,168
8:52:26 p. m.,169
8:52:29 p. m.,170
8:52:31 p. m.,171
8:52:33 p. m.,171
8:52:35 p. m.,172
8:52:38 p. m.,173
8:52:40 p. m.,174
8:52:42 p. m.,175
8:52:45 p. m.,176
8:52:47 p. m.,178
8:52:49 p. m.,178
8:52:51 p. m.,180
8:52:54 p. m.,181
8:52:56 p. m.,182
8:52:58 p. m.,183
8:53:00 p. m.,183
8:53:03 p. m.,185
8:53:05 p. m.,186
8:53:08 p. m.,186
8:53:10 p. m.,187
8:53:12 p. m.,189
8:53:15 p. m.,190
8:53:17 p. m.,191
8:53:19 p. m.,192
8:53:22 p. m.,193
8:53:24 p. m.,194
8:53:26 p. m.,195
8:53:28 p. m.,196
8:53:31 p. m.,197
8:53:33 p. m.,198
8:53:35 p. m.,199
8:53:38 p. m.,200
8:53:48 p. m.,201
8:53:50 p. m.,202
8:53:52 p. m.,203
8:53:55 p. m.,204
8:53:57 p. m.,204
8:54:00 p. m.,206
8:54:02 p. m.,207
8:54:04 p. m.,208
8:54:07 p. m.,209
8:54:09 p. m.,210
8:54:12 p. m.,211
8:54:14 p. m.,212
8:54:16 p. m.,213
8:54:19 p. m.,213
8:54:21 p. m.,215
8:54:23 p. m.,216
8:54:25 p. m.,217
8:54:28 p. m.,217
8:54:30 p. m.,218
8:54:32 p. m.,220
8:54:34 p. m.,221
8:54:36 p. m.,222
8:54:39 p. m.,223
8:54:41 p. m.,224
8:54:43 p. m.,224
8:54:46 p. m.,226
8:54:48 p. m.,227
8:54:50 p. m.,228
8:54:52 p. m.,228
8:54:55 p. m.,230
8:54:57 p. m.,231
8:55:00 p. m.,232
8:55:02 p. m.,233
8:55:04 p. m.,234
8:55:07 p. m.,235
8:55:09 p. m.,236
8:55:11 p. m.,237
8:55:14 p. m.,238
8:55:16 p. m.,239
8:55:18 p. m.,240
8:55:21 p. m.,241
8:55:23 p. m.,242
8:55:26 p. m.,243
8:55:28 p. m.,244
8:55:30 p. m.,245
8:55:32 p. m.,246
8:55:34 p. m.,247
8:55:37 p. m.,248
8:55:39 p. m.,249
8:55:41 p. m.,250
8:55:50 p. m.,251
8:55:52 p. m.,252
8:55:55 p. m.,253
8:55:57 p. m.,254
8:55:59 p. m.,255
8:56:01 p. m.,256
8:56:04 p. m.,257
8:56:06 p. m.,258
8:56:08 p. m.,259
8:56:10 p. m.,260
8:56:12 p. m.,260
8:56:14 p. m.,262
8:56:17 p. m.,263
8:56:19 p. m.,264
8:56:21 p. m.,265
8:56:24 p. m.,266
8:56:26 p. m.,267
8:56:28 p. m.,268
8:56:30 p. m.,269
8:56:33 p. m.,270
8:56:35 p. m.,271
8:56:37 p. m.,272
8:56:40 p. m.,273
8:56:42 p. m.,274
8:56:44 p. m.,275
8:56:46 p. m.,276
8:56:49 p. m.,277
8:56:51 p. m.,278
8:56:53 p. m.,279
8:56:55 p. m.,280
8:56:58 p. m.,281
8:57:00 p. m.,282
8:57:02 p. m.,283
8:57:05 p. m.,284
8:57:07 p. m.,285
8:57:09 p. m.,285
8:57:11 p. m.,287
8:57:14 p. m.,288
8:57:16 p. m.,289
8:57:18 p. m.,290
8:57:20 p. m.,291
8:57:23 p. m.,292
8:57:25 p. m.,293
8:57:27 p. m.,294
8:57:30 p. m.,295
8:57:32 p. m.,296
8:57:35 p. m.,297
8:57:37 p. m.,298
8:57:39 p. m.,299
8:57:41 p. m.,300
8:57:52 p. m.,301
8:57:54 p. m.,302
8:57:57 p. m.,303
8:57:59 p. m.,304
8:58:01 p. m.,305
8:58:03 p. m.,306
8:58:06 p. m.,307
8:58:08 p. m.,307
8:58:11 p. m.,309
8:58:13 p. m.,310
8:58:15 p. m.,311
8:58:17 p. m.,312
8:58:20 p. m.,312
8:58:22 p. m.,314
8:58:24 p. m.,315
8:58:26 p. m.,316
8:58:28 p. m.,317
8:58:31 p. m.,317
8:58:33 p. m.,319
8:58:35 p. m.,320
8:58:37 p. m.,321
8:58:40 p. m.,322
8:58:42 p. m.,323
8:58:44 p. m.,324
8:58:46 p. m.,325
8:58:49 p. m.,326
8:58:51 p. m.,327
8:58:53 p. m.,328
8:58:56 p. m.,329
8:58:58 p. m.,330
8:59:01 p. m.,330
8:59:03 p. m.,332
8:59:05 p. m.,333
8:59:07 p. m.,334
8:59:10 p. m.,334
8:59:12 p. m.,336
8:59:14 p. m.,336
8:59:16 p. m.,338
8:59:18 p. m.,339
8:59:21 p. m.,340
8:59:23 p. m.,341
8:59:26 p. m.,342
8:59:28 p. m.,343
8:59:30 p. m.,344
8:59:32 p. m.,345
8:59:35 p. m.,346
8:59:37 p. m.,347
8:59:39 p. m.,348
8:59:42 p. m.,348
8:59:44 p. m.,350
8:59:54 p. m.,351
8:59:56 p. m.,352
8:59:58 p. m.,353
9:00:00 p. m.,354
9:00:03 p. m.,355
9:00:05 p. m.,356
9:00:08 p. m.,357
9:00:10 p. m.,358
9:00:12 p. m.,358
9:00:14 p. m.,360
9:00:17 p. m.,361
9:00:19 p. m.,362
9:00:21 p. m.,363
9:00:23 p. m.,364
9:00:26 p. m.,365
9:00:28 p. m.,366
9:00:30 p. m.,367
9:00:33 p. m.,368
9:00:42 p. m.,369
9:00:44 p. m.,370
9:00:46 p. m.,371
9:00:49 p. m.,372
9:00:51 p. m.,373
9:00:53 p. m.,374
9:00:55 p. m.,375
9:00:58 p. m.,376
9:01:00 p. m.,376
9:01:02 p. m.,378
9:01:05 p. m.,379
9:01:07 p. m.,380
9:01:09 p. m.,381
9:01:11 p. m.,382
9:01:13 p. m.,383
9:01:16 p. m.,384
9:01:18 p. m.,385
9:01:20 p. m.,386
9:01:22 p. m.,387
9:01:25 p. m.,388
9:01:27 p. m.,389
9:01:30 p. m.,390
9:01:32 p. m.,391
9:01:34 p. m.,392
9:01:36 p. m.,393
9:01:38 p. m.,394
9:01:41 p. m.,395
9:01:43 p. m.,396
9:01:46 p. m.,397
9:01:48 p. m.,398
9:01:50 p. m.,399
9:01:55 p. m.,400
9:01:57 p. m.,401
9:01:59 p. m.,402
9:02:01 p. m.,403
9:02:04 p. m.,404
9:02:06 p. m.,404
9:02:08 p. m.,406
9:02:11 p. m.,407
9:02:13 p. m.,408
9:02:15 p. m.,409
9:02:18 p. m.,410
9:02:20 p. m.,411
9:02:22 p. m.,412
9:02:25 p. m.,413
9:02:27 p. m.,414
9:02:29 p. m.,415
9:02:31 p. m.,416
9:02:34 p. m.,417
9:02:36 p. m.,418
9:02:38 p. m.,419
9:02:41 p. m.,420
9:02:43 p. m.,421
9:02:45 p. m.,422
9:02:48 p. m.,423
9:02:50 p. m.,424
9:02:52 p. m.,425
9:02:55 p. m.,426
9:02:57 p. m.,427
9:02:59 p. m.,428
9:03:01 p. m.,429
9:03:04 p. m.,430
9:03:06 p. m.,431
9:03:08 p. m.,432
9:03:10 p. m.,433
9:03:13 p. m.,434
9:03:15 p. m.,435
9:03:17 p. m.,436
9:03:20 p. m.,437
9:03:22 p. m.,437
9:03:24 p. m.,439
9:03:26 p. m.,440
9:03:29 p. m.,441
9:03:31 p. m.,442
9:03:33 p. m.,443
9:03:36 p. m.,444
9:03:39 p. m.,445
9:03:41 p. m.,446
9:03:43 p. m.,447
9:03:46 p. m.,448
9:03:48 p. m.,449
9:03:57 p. m.,450
9:03:59 p. m.,451
9:04:01 p. m.,452
9:04:04 p. m.,453
9:04:06 p. m.,454
9:04:08 p. m.,455
9:04:11 p. m.,456
9:04:13 p. m.,457
9:04:15 p. m.,458
9:04:18 p. m.,459
9:04:20 p. m.,460
9:04:22 p. m.,461
9:04:25 p. m.,461
9:04:27 p. m.,462
9:04:29 p. m.,463
9:04:31 p. m.,465
9:04:34 p. m.,466
9:04:36 p. m.,467
9:04:38 p. m.,468
9:04:41 p. m.,469
9:04:43 p. m.,470
9:04:46 p. m.,471
9:04:48 p. m.,472
9:04:50 p. m.,473
9:04:53 p. m.,474
9:04:55 p. m.,475
9:04:58 p. m.,476
9:05:00 p. m.,477
9:05:02 p. m.,478
9:05:05 p. m.,479
9:05:07 p. m.,480
9:05:09 p. m.,481
9:05:11 p. m.,482
9:05:14 p. m.,483
9:05:16 p. m.,484
9:05:18 p. m.,485
9:05:21 p. m.,486
9:05:23 p. m.,487
9:05:25 p. m.,488
9:05:28 p. m.,489
9:05:30 p. m.,490
9:05:32 p. m.,491
9:05:34 p. m.,492
9:05:37 p. m.,493
9:05:39 p. m.,494
9:05:42 p. m.,495
9:05:44 p. m.,496
9:05:46 p. m.,497
9:05:49 p. m.,498
9:05:51 p. m.,499
9:05:59 p. m.,499
9:06:01 p. m.,501
9:06:04 p. m.,502
9:06:06 p. m.,503
9:06:08 p. m.,504
9:06:11 p. m.,505
9:06:13 p. m.,505
9:06:15 p. m.,507
9:06:18 p. m.,508
9:06:20 p. m.,509
9:06:22 p. m.,510
9:06:24 p. m.,511
9:06:27 p. m.,512
9:06:29 p. m.,513
9:06:31 p. m.,514
9:06:33 p. m.,515
9:06:36 p. m.,515
9:06:38 p. m.,517
9:06:40 p. m.,518
9:06:42 p. m.,518
9:06:44 p. m.,519
9:06:47 p. m.,521
9:06:49 p. m.,521
9:06:51 p. m.,523
9:06:54 p. m.,524
9:06:56 p. m.,524
9:06:58 p. m.,525
9:07:00 p. m.,527
9:07:03 p. m.,528
9:07:05 p. m.,529
9:07:07 p. m.,530
9:07:09 p. m.,531
9:07:11 p. m.,531
9:07:13 p. m.,533
9:07:14 p. m.,533
9:07:15 p. m.,533
9:07:16 p. m.,533
9:07:17 p. m.,533
9:07:18 p. m.,533
9:07:18 p. m.,533
9:07:20 p. m.,533
9:07:20 p. m.,533
9:07:21 p. m.,533
9:07:23 p. m.,534
9:07:26 p. m.,535
9:07:28 p. m.,536
9:07:30 p. m.,537
9:07:33 p. m.,538
9:07:35 p. m.,539
9:07:38 p. m.,540
9:07:40 p. m.,541
9:07:42 p. m.,542
9:07:45 p. m.,543
9:07:47 p. m.,544
9:07:49 p. m.,544
9:07:51 p. m.,546
9:07:54 p. m.,547
9:07:56 p. m.,548
9:08:02 p. m.,549
9:08:04 p. m.,550
9:08:06 p. m.,551
9:08:09 p. m.,552
9:08:11 p. m.,553
9:08:13 p. m.,554
9:08:16 p. m.,556
9:08:18 p. m.,557
9:08:21 p. m.,558
9:08:23 p. m.,558
9:08:25 p. m.,559
9:08:27 p. m.,561
9:08:30 p. m.,562
9:08:32 p. m.,563
9:08:34 p. m.,564
9:08:36 p. m.,565
9:08:39 p. m.,566
